begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
02/05/2025,06/05/2025,5,38.0,2.3,40.1,95.9,2025
20/05/2025,24/05/2025,5,39.2,1.9,42.0,99.2,2025
24/06/2025,30/06/2025,7,44.5,2.0,48.6,106.6,2025
09/07/2025,11/07/2025,3,43.7,0.7,44.5,122.7,2025
14/08/2025,17/08/2025,4,47.5,2.2,50.6,117.2,2025
04/05/2026,07/05/2026,4,38.1,2.0,39.7,96.3,2026
17/05/2026,23/05/2026,7,37.2,1.5,39.5,95.5,2026
25/05/2026,29/05/2026,5,39.7,1.4,40.8,100.4,2026
02/06/2026,04/06/2026,3,44.7,0.9,45.7,108.2,2026
15/06/2026,19/06/2026,5,43.9,0.2,44.1,106.5,2026
25/06/2026,27/06/2026,3,45.4,1.6,46.8,113.1,2026
03/07/2026,05/07/2026,3,45.0,0.8,45.6,117.1,2026
08/07/2026,10/07/2026,3,46.0,1.7,47.9,117.2,2026
08/08/2026,12/08/2026,5,45.5,1.2,46.9,125.2,2026
18/08/2026,20/08/2026,3,45.5,1.5,47.2,127.1,2026
16/09/2026,03/10/2026,18,39.6,2.8,46.0,105.6,2026
22/10/2026,26/10/2026,5,36.5,0.9,37.7,94.5,2026
03/05/2027,07/05/2027,5,36.1,0.7,37.0,92.8,2027
09/05/2027,20/05/2027,12,40.9,4.2,48.9,100.7,2027
06/06/2027,09/06/2027,4,44.3,0.5,44.8,109.3,2027
12/06/2027,14/06/2027,3,45.4,1.8,47.0,113.1,2027
28/06/2027,01/07/2027,4,44.8,1.2,46.4,111.4,2027
13/07/2027,19/07/2027,7,46.2,2.1,49.3,124.7,2027
06/10/2027,08/10/2027,3,37.8,2.3,40.5,98.7,2027
01/05/2028,03/05/2028,3,39.9,3.2,43.4,99.4,2028
23/05/2028,26/05/2028,4,40.4,1.5,42.5,99.8,2028
03/07/2028,07/07/2028,5,45.0,1.0,46.2,116.4,2028
19/07/2028,24/07/2028,6,44.2,0.9,46.0,134.4,2028
05/08/2028,12/08/2028,8,46.3,2.1,50.1,120.1,2028
14/10/2028,27/10/2028,14,38.7,3.5,48.5,102.8,2028
29/10/2028,31/10/2028,3,36.9,2.3,39.5,93.9,2028
09/04/2029,12/04/2029,4,38.9,2.7,42.3,96.9,2029
30/04/2029,06/05/2029,7,39.0,2.7,42.5,98.8,2029
09/05/2029,13/05/2029,5,38.1,1.6,40.3,95.7,2029
15/05/2029,17/05/2029,3,36.5,1.1,37.4,94.4,2029
19/05/2029,21/05/2029,3,41.3,3.5,45.2,105.8,2029
08/06/2029,11/06/2029,4,45.4,1.5,47.6,113.5,2029
07/07/2029,11/07/2029,5,45.8,1.2,47.6,116.2,2029
19/07/2029,22/07/2029,4,44.7,1.1,46.3,121.2,2029
31/07/2029,04/08/2029,5,45.4,0.7,46.2,116.9,2029
26/09/2029,30/09/2029,5,40.1,1.4,42.3,105.1,2029
21/10/2029,26/10/2029,6,37.2,1.7,40.1,96.9,2029
01/05/2030,03/05/2030,3,43.5,3.3,47.2,105.4,2030
17/05/2030,19/05/2030,3,37.5,0.9,38.5,97.1,2030
21/05/2030,23/05/2030,3,36.9,1.9,38.9,94.3,2030
28/05/2030,30/05/2030,3,38.1,2.4,40.0,96.7,2030
29/06/2030,01/07/2030,3,44.2,1.7,46.1,110.1,2030
28/07/2030,30/07/2030,3,46.0,1.6,47.2,127.3,2030
01/08/2030,03/08/2030,3,45.2,1.2,46.1,129.2,2030
15/08/2030,18/08/2030,4,44.4,2.1,47.5,124.2,2030
27/08/2030,31/08/2030,5,44.8,0.8,45.7,129.2,2030
16/09/2030,03/10/2030,18,40.1,2.4,45.9,108.8,2030
22/10/2030,28/10/2030,7,36.9,0.9,38.5,95.9,2030
16/03/2031,18/03/2031,3,42.3,5.0,45.4,103.0,2031
01/05/2031,05/05/2031,5,39.5,2.2,42.6,98.4,2031
09/05/2031,16/05/2031,8,38.7,2.0,41.6,98.0,2031
18/05/2031,22/05/2031,5,38.5,3.0,42.0,97.6,2031
27/06/2031,29/06/2031,3,46.6,1.3,47.4,118.9,2031
01/07/2031,03/07/2031,3,46.6,0.9,47.2,111.2,2031
30/07/2031,07/08/2031,9,47.8,2.4,50.7,129.0,2031
28/08/2031,31/08/2031,4,46.8,1.7,48.4,134.7,2031
08/10/2031,18/10/2031,11,38.9,1.9,42.6,100.4,2031
01/05/2032,03/05/2032,3,36.7,2.3,39.3,94.2,2032
08/05/2032,12/05/2032,5,39.0,3.5,44.1,98.9,2032
15/05/2032,17/05/2032,3,38.9,1.3,39.8,97.2,2032
20/05/2032,25/05/2032,6,38.1,1.6,40.0,97.1,2032
06/06/2032,09/06/2032,4,45.0,0.8,46.1,109.6,2032
16/07/2032,18/07/2032,3,45.8,1.9,47.6,115.1,2032
06/08/2032,17/08/2032,12,46.5,1.8,50.1,117.3,2032
27/10/2032,31/10/2032,5,38.5,1.4,40.2,105.0,2032
03/04/2033,10/04/2033,8,36.2,1.0,37.9,92.8,2033
01/05/2033,04/05/2033,4,41.3,5.0,48.7,104.5,2033
24/05/2033,26/05/2033,3,37.7,0.4,38.0,96.1,2033
29/06/2033,02/07/2033,4,45.4,0.6,46.3,115.2,2033
19/08/2033,24/08/2033,6,46.7,1.9,48.8,128.7,2033
27/03/2034,29/03/2034,3,36.7,0.7,37.5,95.0,2034
13/05/2034,18/05/2034,6,39.4,1.6,42.4,100.0,2034
21/05/2034,24/05/2034,4,39.8,3.4,43.1,99.2,2034
09/06/2034,12/06/2034,4,45.2,0.2,45.4,107.8,2034
28/06/2034,01/07/2034,4,45.1,1.3,46.9,112.8,2034
08/07/2034,11/07/2034,4,45.8,1.8,48.3,124.8,2034
15/08/2034,19/08/2034,5,45.9,1.4,47.3,135.8,2034
14/05/2035,16/05/2035,3,38.9,3.2,42.2,98.7,2035
19/05/2035,21/05/2035,3,37.4,2.2,39.5,96.3,2035
13/06/2035,15/06/2035,3,48.0,2.3,50.4,114.2,2035
21/06/2035,23/06/2035,3,46.1,2.0,48.4,111.5,2035
30/06/2035,02/07/2035,3,45.5,0.4,45.7,121.0,2035
27/07/2035,29/07/2035,3,45.8,1.0,46.7,127.3,2035
26/08/2035,29/08/2035,4,45.1,1.0,46.5,116.7,2035
10/04/2036,14/04/2036,5,36.1,0.6,37.0,92.3,2036
01/05/2036,05/05/2036,5,38.9,2.3,41.8,97.7,2036
07/05/2036,11/05/2036,5,37.2,1.8,40.0,95.8,2036
18/05/2036,23/05/2036,6,38.2,1.9,41.2,97.3,2036
25/05/2036,27/05/2036,3,40.2,1.4,41.8,100.9,2036
10/07/2036,12/07/2036,3,44.7,0.3,45.0,121.7,2036
