begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
25/05/2036,27/05/2036,3,39.8,1.4,41.4,100.0,2036
10/07/2036,12/07/2036,3,44.2,0.3,44.5,120.1,2036
27/07/2036,29/07/2036,3,44.2,0.5,44.6,114.5,2036
06/05/2037,22/05/2037,17,39.2,3.3,47.6,97.9,2037
24/05/2037,26/05/2037,3,38.9,2.1,41.2,99.0,2037
28/05/2037,30/05/2037,3,39.8,0.7,40.4,98.8,2037
04/06/2037,07/06/2037,4,44.3,0.8,45.5,113.9,2037
23/06/2037,25/06/2037,3,44.9,1.4,46.5,110.1,2037
30/06/2037,03/07/2037,4,45.1,0.8,46.0,120.8,2037
18/07/2037,20/07/2037,3,43.7,0.2,43.9,111.3,2037
12/09/2037,15/09/2037,4,45.4,1.5,47.3,121.4,2037
29/04/2038,02/05/2038,4,37.9,2.1,41.0,95.1,2038
04/05/2038,13/05/2038,10,38.5,2.2,43.4,97.2,2038
17/05/2038,19/05/2038,3,41.2,1.0,41.8,104.1,2038
23/05/2038,25/05/2038,3,37.5,1.5,38.4,96.5,2038
28/05/2038,30/05/2038,3,36.8,1.7,38.7,94.3,2038
19/06/2038,23/06/2038,5,45.7,2.2,48.0,114.9,2038
17/07/2038,20/07/2038,4,44.0,0.2,44.3,119.4,2038
06/08/2038,14/08/2038,9,46.0,2.4,50.5,128.6,2038
25/10/2038,31/10/2038,7,39.2,1.9,42.1,100.4,2038
03/05/2039,05/05/2039,3,37.2,1.5,38.8,94.9,2039
07/05/2039,10/05/2039,4,36.2,0.8,37.0,95.2,2039
12/05/2039,24/05/2039,13,40.2,3.2,45.3,100.8,2039
10/06/2039,12/06/2039,3,46.0,1.1,46.9,111.8,2039
10/07/2039,16/07/2039,7,44.9,0.9,46.4,117.5,2039
22/07/2039,25/07/2039,4,46.5,1.8,47.8,120.4,2039
01/09/2039,03/09/2039,3,46.8,1.9,48.8,129.8,2039
25/10/2039,29/10/2039,5,36.6,1.5,39.2,98.5,2039
02/05/2040,12/05/2040,11,39.0,3.8,48.6,97.9,2040
14/05/2040,18/05/2040,5,40.4,2.0,43.3,100.6,2040
22/06/2040,26/06/2040,5,46.7,2.2,50.2,119.8,2040
14/07/2040,17/07/2040,4,45.1,1.6,46.9,142.9,2040
09/08/2040,12/08/2040,4,46.4,2.5,49.0,128.9,2040
22/08/2040,06/09/2040,16,40.5,2.3,45.2,112.2,2040
08/09/2040,27/09/2040,20,41.4,2.6,46.5,109.4,2040
29/09/2040,06/10/2040,8,38.8,2.3,42.6,101.8,2040
02/05/2041,04/05/2041,3,38.5,2.7,41.3,97.5,2041
08/05/2041,15/05/2041,8,38.8,1.7,41.7,97.7,2041
22/05/2041,24/05/2041,3,36.9,1.8,38.9,94.5,2041
12/06/2041,20/06/2041,9,45.7,1.3,47.4,111.5,2041
08/07/2041,10/07/2041,3,44.6,1.0,45.8,112.2,2041
04/08/2041,06/08/2041,3,44.3,0.4,44.6,140.1,2041
10/10/2041,13/10/2041,4,38.5,1.8,41.1,104.8,2041
15/10/2041,18/10/2041,4,36.8,1.1,38.3,96.0,2041
21/10/2041,25/10/2041,5,39.0,2.3,42.5,101.0,2041
28/10/2041,30/10/2041,3,37.1,3.0,40.5,97.2,2041
05/05/2042,08/05/2042,4,39.2,3.4,43.4,99.5,2042
18/05/2042,23/05/2042,6,39.1,1.7,41.0,98.3,2042
11/06/2042,17/06/2042,7,46.1,2.1,50.0,113.3,2042
22/06/2042,25/06/2042,4,45.8,1.3,47.1,111.2,2042
05/07/2042,07/07/2042,3,45.3,1.2,46.7,124.0,2042
02/08/2042,04/08/2042,3,45.9,2.0,48.0,116.2,2042
08/08/2042,10/08/2042,3,44.9,0.9,45.9,124.7,2042
20/08/2042,22/08/2042,3,47.1,1.2,47.9,130.5,2042
24/08/2042,26/08/2042,3,46.1,1.3,47.1,117.2,2042
04/04/2043,06/04/2043,3,35.7,0.2,35.9,91.3,2043
04/05/2043,07/05/2043,4,39.2,2.0,41.4,98.9,2043
10/05/2043,14/05/2043,5,38.8,3.1,41.6,99.0,2043
16/05/2043,21/05/2043,6,37.7,1.6,40.6,95.0,2043
25/05/2043,30/05/2043,6,39.5,1.8,41.7,99.4,2043
09/06/2043,11/06/2043,3,45.7,1.3,46.9,112.0,2043
14/06/2043,17/06/2043,4,46.1,2.0,48.8,114.6,2043
26/07/2043,28/07/2043,3,45.2,0.9,46.1,129.9,2043
