begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
29/09/2017,01/10/2017,3,36.4,0.6,36.7,94.7,2017
04/10/2017,07/10/2017,4,36.0,0.5,36.7,93.3,2017
24/04/2018,28/04/2018,5,36.2,0.6,36.7,92.7,2018
05/05/2018,11/05/2018,7,39.2,1.2,41.1,97.5,2018
28/05/2018,14/06/2018,18,40.1,2.0,42.8,99.3,2018
20/06/2018,23/06/2018,4,42.8,0.4,43.3,105.7,2018
26/06/2018,28/06/2018,3,42.8,0.5,43.3,105.5,2018
05/07/2018,08/07/2018,4,44.3,1.0,45.6,114.2,2018
22/07/2018,27/07/2018,6,44.5,1.9,46.7,117.9,2018
01/08/2018,07/08/2018,7,43.4,1.0,45.0,118.2,2018
20/09/2018,29/09/2018,10,38.3,1.0,39.4,104.2,2018
25/04/2019,28/04/2019,4,36.6,0.9,37.8,94.0,2019
28/06/2019,01/07/2019,4,43.0,0.3,43.3,105.7,2019
10/07/2019,16/07/2019,7,43.9,1.2,46.1,112.1,2019
26/07/2019,29/07/2019,4,43.4,0.7,44.4,116.0,2019
02/08/2019,05/08/2019,4,43.9,1.6,46.1,122.2,2019
14/08/2019,16/08/2019,3,44.1,1.1,45.0,110.0,2019
20/08/2019,22/08/2019,3,44.1,1.1,45.0,110.0,2019
23/04/2020,11/05/2020,19,37.9,1.5,40.6,96.7,2020
16/05/2020,18/05/2020,3,37.4,0.8,38.3,95.7,2020
25/05/2020,05/06/2020,12,41.4,2.2,43.9,103.8,2020
10/07/2020,13/07/2020,4,45.1,1.2,46.1,116.6,2020
27/07/2020,31/07/2020,5,45.6,1.4,47.2,117.1,2020
13/08/2020,20/08/2020,8,44.9,0.7,46.1,118.5,2020
24/08/2020,28/08/2020,5,44.1,0.5,45.0,117.2,2020
04/09/2020,06/09/2020,3,44.8,0.4,45.0,114.0,2020
12/10/2020,17/10/2020,6,37.0,0.8,37.8,95.5,2020
05/05/2021,07/05/2021,3,36.5,0.8,37.2,93.2,2021
12/05/2021,15/05/2021,4,37.2,0.4,37.8,94.0,2021
12/06/2021,22/06/2021,11,44.9,1.7,47.2,110.6,2021
06/07/2021,11/07/2021,6,43.6,0.5,44.4,118.9,2021
26/07/2021,08/08/2021,14,40.8,2.5,45.0,115.2,2021
19/08/2021,31/08/2021,13,40.0,2.8,43.9,111.1,2021
