begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
23/02/2048,28/02/2048,6,3.7,2.8,-1.1,2.6,2048
03/12/2048,07/12/2048,5,3.0,3.0,-1.8,1.8,2048
11/12/2048,15/12/2048,5,4.3,1.6,2.3,1.8,2048
10/01/2049,14/01/2049,5,2.5,2.8,-2.1,2.2,2049
17/12/2049,20/12/2049,4,3.8,0.4,3.3,1.8,2049
25/12/2049,27/12/2049,3,4.2,1.6,2.5,2.6,2049
05/01/2050,07/01/2050,3,3.1,1.9,1.0,2.2,2050
09/01/2050,11/01/2050,3,2.4,2.7,0.6,2.1,2050
17/01/2050,19/01/2050,3,3.2,1.0,2.4,2.0,2050
31/01/2050,02/02/2050,3,3.6,2.2,1.2,1.7,2050
16/02/2050,18/02/2050,3,3.4,1.2,2.6,2.1,2050
22/12/2050,24/12/2050,3,3.1,3.1,-0.4,1.7,2050
02/01/2051,04/01/2051,3,4.4,0.6,3.8,1.5,2051
10/01/2051,12/01/2051,3,2.7,3.5,-1.3,2.6,2051
09/12/2051,12/12/2051,4,3.4,1.2,2.1,2.0,2051
27/12/2051,30/12/2051,4,3.1,2.0,1.3,2.4,2051
12/01/2052,14/01/2052,3,5.2,0.6,4.7,2.2,2052
16/01/2052,18/01/2052,3,3.5,1.2,2.7,1.9,2052
01/02/2052,05/02/2052,5,2.9,1.8,0.1,2.8,2052
19/01/2053,22/01/2053,4,4.0,1.0,2.8,2.6,2053
13/02/2053,15/02/2053,3,3.6,1.0,2.5,2.0,2053
01/12/2053,03/12/2053,3,3.9,2.4,1.1,2.1,2053
21/12/2053,23/12/2053,3,3.7,1.3,2.5,1.8,2053
01/01/2054,04/01/2054,4,2.8,1.9,0.4,1.5,2054
18/01/2054,20/01/2054,3,3.0,0.9,2.2,2.0,2054
29/01/2054,31/01/2054,3,3.5,2.1,1.1,1.7,2054
10/12/2054,16/12/2054,7,1.6,2.7,-2.4,1.9,2054
12/01/2055,14/01/2055,3,3.4,2.0,1.1,2.2,2055
16/12/2055,18/12/2055,3,2.4,1.2,1.0,1.6,2055
15/01/2056,17/01/2056,3,3.9,1.7,2.1,1.8,2056
19/02/2056,22/02/2056,4,1.4,3.3,-1.9,3.3,2056
13/01/2057,15/01/2057,3,3.6,0.8,2.7,1.9,2057
12/02/2057,14/02/2057,3,4.8,0.6,4.3,2.1,2057
16/12/2057,18/12/2057,3,3.2,1.7,1.3,1.6,2057
08/01/2058,10/01/2058,3,2.0,4.0,-2.6,1.6,2058
07/02/2058,09/02/2058,3,3.6,1.8,1.7,2.7,2058
14/02/2058,16/02/2058,3,4.6,1.2,3.2,2.0,2058
06/12/2058,08/12/2058,3,1.9,0.9,1.0,1.7,2058
12/01/2059,14/01/2059,3,3.2,1.2,2.0,2.2,2059
16/01/2059,18/01/2059,3,5.8,1.0,4.8,1.9,2059
07/01/2060,09/01/2060,3,0.8,4.1,-3.9,1.6,2060
04/12/2060,06/12/2060,3,2.2,3.0,-1.1,1.9,2060
08/12/2060,10/12/2060,3,1.8,2.5,0.0,1.7,2060
12/12/2060,14/12/2060,3,3.5,1.1,2.2,1.9,2060
17/01/2061,19/01/2061,3,4.6,1.2,3.7,2.0,2061
17/02/2061,19/02/2061,3,5.7,0.5,5.3,2.0,2061
10/12/2061,12/12/2061,3,3.8,1.9,2.0,2.2,2061
22/12/2061,24/12/2061,3,2.6,4.1,-1.8,1.7,2061
29/12/2061,31/12/2061,3,4.4,2.4,1.8,2.3,2061
22/01/2062,25/01/2062,4,3.8,1.8,2.1,1.7,2062
12/12/2062,16/12/2062,5,4.3,2.0,1.7,1.7,2062
22/12/2062,25/12/2062,4,4.0,2.3,1.1,2.0,2062
23/02/2063,25/02/2063,3,2.2,1.7,0.3,2.9,2063
20/12/2063,22/12/2063,3,3.8,1.0,3.2,1.8,2063
26/12/2063,29/12/2063,4,5.1,0.4,4.6,2.3,2063
17/01/2064,20/01/2064,4,1.4,1.7,-0.9,1.9,2064
22/01/2064,24/01/2064,3,-0.8,3.0,-4.2,1.7,2064
26/01/2064,28/01/2064,3,4.1,0.2,3.9,1.4,2064
12/02/2064,14/02/2064,3,-0.2,2.7,-2.3,2.1,2064
16/02/2064,19/02/2064,4,4.1,0.3,3.9,2.0,2064
22/02/2064,26/02/2064,5,3.0,2.3,-1.1,3.4,2064
19/02/2065,23/02/2065,5,1.8,2.0,-1.0,3.0,2065
24/12/2066,28/12/2066,5,3.4,1.8,1.0,2.5,2066
12/01/2067,15/01/2067,4,3.8,1.6,2.0,2.3,2067
22/01/2067,24/01/2067,3,4.3,0.2,4.1,1.7,2067
28/01/2067,30/01/2067,3,1.9,1.4,0.2,1.7,2067
18/12/2067,22/12/2067,5,4.2,0.9,2.6,1.9,2067
10/01/2068,13/01/2068,4,3.4,1.7,1.7,2.2,2068
26/01/2068,29/01/2068,4,4.0,1.3,2.6,1.4,2068
13/12/2068,16/12/2068,4,2.7,1.9,0.6,1.6,2068
27/12/2068,31/12/2068,5,4.4,0.8,3.7,2.5,2068
01/01/2069,03/01/2069,3,3.5,1.4,1.9,1.4,2069
26/02/2069,28/02/2069,3,4.2,0.6,3.8,2.4,2069
01/12/2069,03/12/2069,3,3.2,2.1,0.8,2.1,2069
10/01/2070,14/01/2070,5,4.8,1.8,2.0,2.2,2070
01/12/2070,03/12/2070,3,4.8,1.2,3.4,2.1,2070
06/12/2070,09/12/2070,4,2.8,1.4,1.0,1.6,2070
05/01/2071,07/01/2071,3,4.5,0.6,3.8,2.2,2071
31/01/2071,03/02/2071,4,3.8,1.3,2.6,2.5,2071
16/02/2071,18/02/2071,3,0.4,1.5,-1.3,2.1,2071
01/12/2071,03/12/2071,3,3.9,0.5,3.5,2.1,2071
05/12/2071,07/12/2071,3,4.4,0.8,3.5,2.1,2071
14/01/2072,16/01/2072,3,3.9,0.4,3.5,2.0,2072
24/01/2072,26/01/2072,3,3.4,1.9,1.8,1.5,2072
20/02/2072,22/02/2072,3,4.8,1.4,3.2,3.8,2072
09/12/2072,12/12/2072,4,3.6,2.0,0.9,2.0,2072
04/01/2073,06/01/2073,3,3.1,1.3,1.6,2.2,2073
14/01/2073,20/01/2073,7,3.1,2.6,-2.4,1.9,2073
03/12/2073,05/12/2073,3,4.1,1.2,2.8,1.7,2073
28/01/2074,01/02/2074,5,3.5,2.1,0.3,1.7,2074
11/12/2074,13/12/2074,3,1.7,0.8,0.9,2.0,2074
29/12/2074,31/12/2074,3,3.9,2.5,1.0,2.3,2074
06/01/2075,08/01/2075,3,3.4,1.6,1.8,1.5,2075
10/01/2075,12/01/2075,3,1.8,0.4,1.5,2.6,2075
23/01/2075,26/01/2075,4,1.5,2.4,-1.4,1.5,2075
07/02/2075,10/02/2075,4,4.3,0.7,3.4,2.6,2075
16/12/2075,18/12/2075,3,4.2,1.0,3.2,1.6,2075
06/01/2076,11/01/2076,6,4.3,1.2,3.0,1.8,2076
01/02/2076,03/02/2076,3,2.6,1.7,1.0,2.8,2076
03/01/2077,05/01/2077,3,1.3,4.1,-3.3,2.1,2077
12/01/2077,15/01/2077,4,5.6,0.5,4.8,2.3,2077
21/01/2077,25/01/2077,5,4.4,2.4,0.2,2.4,2077
14/02/2077,16/02/2077,3,5.2,1.1,3.9,2.0,2077
24/02/2077,26/02/2077,3,2.2,2.2,0.8,3.4,2077
24/12/2077,26/12/2077,3,2.5,3.0,0.3,2.2,2077
01/01/2078,03/01/2078,3,2.1,2.1,-0.3,1.4,2078
09/01/2078,12/01/2078,4,3.6,1.4,1.8,2.5,2078
09/12/2078,11/12/2078,3,3.6,0.8,2.9,2.0,2078
13/12/2078,15/12/2078,3,3.0,1.1,2.2,1.7,2078
19/01/2079,21/01/2079,3,3.4,1.6,2.3,2.7,2079
05/12/2079,08/12/2079,4,4.8,1.9,2.0,1.8,2079
20/12/2079,22/12/2079,3,4.9,0.5,4.4,1.8,2079
27/12/2079,29/12/2079,3,5.6,0.2,5.4,2.4,2079
24/01/2080,26/01/2080,3,3.6,1.5,2.4,1.5,2080
08/02/2080,10/02/2080,3,3.0,2.2,0.9,2.7,2080
04/01/2081,06/01/2081,3,3.2,0.6,2.5,2.2,2081
27/01/2081,29/01/2081,3,3.1,1.3,2.3,1.4,2081
04/02/2081,06/02/2081,3,2.2,1.6,1.2,2.8,2081
09/01/2082,13/01/2082,5,3.8,1.0,2.4,2.2,2082
19/12/2082,23/12/2082,5,2.8,0.6,2.3,1.8,2082
27/12/2082,29/12/2082,3,4.3,0.3,4.1,2.4,2082
15/01/2083,18/01/2083,4,4.4,1.5,2.2,2.1,2083
25/12/2083,29/12/2083,5,3.5,2.0,0.0,2.5,2083
05/01/2084,07/01/2084,3,1.2,1.0,0.1,2.2,2084
20/01/2084,22/01/2084,3,3.5,1.3,2.4,2.9,2084
14/12/2084,16/12/2084,3,1.9,1.6,0.1,1.5,2084
19/12/2084,21/12/2084,3,4.9,0.2,4.7,1.9,2084
28/12/2084,30/12/2084,3,2.6,2.5,-0.2,2.3,2084
22/01/2085,24/01/2085,3,4.6,1.6,2.8,1.7,2085
08/12/2085,10/12/2085,3,4.0,1.2,3.0,1.7,2085
20/12/2085,22/12/2085,3,4.5,1.3,3.0,1.8,2085
28/12/2085,30/12/2085,3,5.3,0.4,4.9,2.3,2085
22/01/2086,25/01/2086,4,0.7,4.6,-5.2,1.7,2086
25/02/2086,27/02/2086,3,4.5,0.5,3.9,3.2,2086
03/12/2086,07/12/2086,5,3.4,1.6,0.6,1.8,2086
05/01/2087,07/01/2087,3,2.3,1.5,1.3,2.2,2087
09/12/2087,14/12/2087,6,4.1,1.9,1.9,2.0,2087
01/12/2088,03/12/2088,3,1.4,3.1,-0.8,2.1,2088
24/12/2088,26/12/2088,3,3.7,1.2,3.0,2.2,2088
01/01/2089,04/01/2089,4,4.8,0.7,4.0,1.5,2089
19/02/2089,21/02/2089,3,2.3,3.3,-1.4,2.8,2089
13/12/2089,15/12/2089,3,4.1,1.4,2.8,1.7,2089
26/12/2089,28/12/2089,3,3.4,2.6,0.5,2.5,2089
04/01/2090,07/01/2090,4,4.4,0.5,3.7,2.1,2090
24/01/2090,28/01/2090,5,2.1,2.7,-1.1,1.5,2090
10/02/2090,12/02/2090,3,1.8,2.0,-0.5,2.5,2090
26/12/2090,30/12/2090,5,3.5,1.2,1.5,2.3,2090
02/02/2091,05/02/2091,4,3.6,2.3,1.5,3.1,2091
19/02/2091,21/02/2091,3,4.0,1.9,2.0,2.8,2091
07/02/2092,13/02/2092,7,3.6,1.0,2.2,2.5,2092
19/02/2092,21/02/2092,3,4.5,1.9,2.5,2.8,2092
03/12/2092,05/12/2092,3,3.6,1.4,2.4,1.7,2092
10/12/2092,14/12/2092,5,4.5,1.5,2.1,2.1,2092
22/01/2093,25/01/2093,4,3.4,1.0,2.5,1.7,2093
01/12/2093,04/12/2093,4,4.0,0.8,3.0,1.9,2093
10/12/2093,15/12/2093,6,2.4,1.9,0.1,2.0,2093
01/01/2094,03/01/2094,3,4.6,0.7,3.8,1.4,2094
15/12/2094,18/12/2094,4,2.7,1.3,1.3,1.5,2094
01/01/2095,03/01/2095,3,3.1,3.1,-0.3,1.4,2095
05/01/2095,09/01/2095,5,4.4,1.0,3.3,1.9,2095
