begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
25/06/2023,28/06/2023,4,34.9,2.2,37.0,108.7,2023
25/07/2023,27/07/2023,3,34.0,0.8,34.7,105.0,2023
02/08/2023,04/08/2023,3,35.4,1.1,36.3,109.9,2023
24/08/2023,26/08/2023,3,33.5,2.8,36.3,111.5,2023
07/06/2024,11/06/2024,5,34.4,1.8,35.8,113.4,2024
07/07/2024,10/07/2024,4,31.6,1.8,33.1,100.1,2024
13/07/2024,15/07/2024,3,30.4,1.4,32.0,91.5,2024
17/07/2024,19/07/2024,3,33.4,2.9,35.8,104.9,2024
15/07/2025,19/07/2025,5,29.5,1.3,30.8,90.7,2025
25/07/2025,31/07/2025,7,30.3,1.3,31.4,97.6,2025
03/08/2025,05/08/2025,3,30.2,2.5,33.0,94.3,2025
15/08/2025,19/08/2025,5,33.1,2.0,35.2,104.8,2025
21/08/2025,23/08/2025,3,31.9,1.0,33.0,107.9,2025
03/07/2026,06/07/2026,4,34.7,3.0,38.7,102.6,2026
08/07/2026,10/07/2026,3,32.6,1.4,34.1,107.5,2026
16/07/2026,19/07/2026,4,33.4,1.0,34.1,104.0,2026
27/07/2026,29/07/2026,3,33.9,0.6,34.7,99.8,2026
04/08/2026,06/08/2026,3,32.7,1.1,34.0,105.3,2026
29/08/2026,02/09/2026,5,35.2,0.9,36.2,105.8,2026
04/07/2027,07/07/2027,4,33.0,1.0,34.1,100.9,2027
09/07/2027,13/07/2027,5,32.6,2.4,35.8,99.1,2027
16/07/2027,24/07/2027,9,33.9,3.5,40.4,105.3,2027
30/07/2027,02/08/2027,4,33.6,0.8,34.1,101.2,2027
20/06/2028,22/06/2028,3,36.4,0.6,37.0,114.3,2028
29/06/2028,01/07/2028,3,33.0,0.9,33.5,98.6,2028
12/07/2028,18/07/2028,7,33.1,2.2,37.0,101.9,2028
22/07/2028,24/07/2028,3,31.1,1.7,33.0,99.5,2028
15/08/2028,17/08/2028,3,30.3,0.9,31.2,94.2,2028
30/05/2029,02/06/2029,4,33.1,1.5,34.8,101.6,2029
21/06/2029,26/06/2029,6,32.4,2.7,36.3,101.7,2029
03/07/2029,08/07/2029,6,33.9,2.1,35.7,109.7,2029
14/07/2029,20/07/2029,7,35.0,2.1,38.6,114.8,2029
19/08/2029,22/08/2029,4,31.5,1.4,32.3,95.4,2029
17/06/2030,19/06/2030,3,30.1,0.9,31.1,89.9,2030
29/06/2030,03/07/2030,5,32.6,1.5,34.0,103.0,2030
06/07/2030,10/07/2030,5,31.4,2.0,34.0,95.3,2030
13/07/2030,15/07/2030,3,30.2,0.3,30.5,98.2,2030
31/08/2030,06/09/2030,7,31.3,2.1,34.2,101.6,2030
29/07/2031,05/08/2031,8,32.4,1.3,34.4,99.8,2031
14/08/2031,19/08/2031,6,31.9,1.3,33.2,101.6,2031
07/09/2031,09/09/2031,3,34.9,0.3,35.2,112.9,2031
12/07/2032,16/07/2032,5,33.5,2.3,36.7,104.4,2032
21/07/2032,28/07/2032,8,34.0,1.9,37.2,103.7,2032
05/08/2032,07/08/2032,3,32.4,0.6,32.7,99.1,2032
24/08/2032,26/08/2032,3,32.2,0.9,33.2,100.5,2032
17/05/2033,19/05/2033,3,34.2,1.7,35.9,99.7,2033
10/06/2033,13/06/2033,4,33.7,2.8,36.0,100.6,2033
18/06/2033,25/06/2033,8,30.3,1.3,32.9,95.4,2033
30/06/2033,03/07/2033,4,31.0,1.3,32.2,96.7,2033
19/07/2033,21/07/2033,3,33.5,0.3,33.9,102.6,2033
20/08/2033,23/08/2033,4,30.7,1.9,33.2,95.2,2033
29/06/2034,01/07/2034,3,32.6,1.1,33.7,101.8,2034
03/07/2034,05/07/2034,3,34.5,2.8,37.1,113.3,2034
02/08/2034,10/08/2034,9,32.9,2.4,35.9,107.1,2034
27/08/2034,30/08/2034,4,35.1,2.0,37.0,114.7,2034
03/09/2034,06/09/2034,4,34.3,2.7,36.9,118.0,2034
13/07/2035,17/07/2035,5,32.8,1.3,34.3,98.8,2035
19/07/2035,21/07/2035,3,36.1,1.5,37.2,115.1,2035
28/07/2035,01/08/2035,5,34.7,1.7,36.7,110.7,2035
18/06/2036,21/06/2036,4,31.8,1.3,33.7,99.1,2036
23/06/2036,26/06/2036,4,30.7,0.6,31.5,94.5,2036
18/07/2036,21/07/2036,4,34.2,1.3,36.1,106.8,2036
25/07/2036,30/07/2036,6,33.0,2.5,36.1,99.5,2036
09/08/2036,12/08/2036,4,34.0,0.6,34.8,110.7,2036
05/06/2037,09/06/2037,5,34.6,1.0,35.8,107.4,2037
19/06/2037,22/06/2037,4,31.9,0.8,33.0,98.9,2037
26/06/2037,30/06/2037,5,34.9,3.2,37.5,114.9,2037
11/08/2037,14/08/2037,4,34.4,1.2,35.8,113.1,2037
17/08/2037,19/08/2037,3,31.0,0.9,31.9,98.5,2037
24/08/2037,27/08/2037,4,33.7,1.7,35.8,108.4,2037
01/07/2038,03/07/2038,3,31.5,1.8,33.6,96.5,2038
