begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
25/01/2023,27/01/2023,3,-13.3,1.9,-15.1,5.5,2023
04/02/2023,11/02/2023,8,-8.1,1.8,-11.3,6.8,2023
13/02/2023,16/02/2023,4,-10.4,1.4,-11.9,8.3,2023
06/03/2023,09/03/2023,4,-13.2,0.7,-14.1,7.0,2023
01/12/2023,07/12/2023,7,-5.0,1.7,-7.0,5.6,2023
13/12/2023,18/12/2023,6,-5.9,1.2,-7.5,5.8,2023
02/01/2024,04/01/2024,3,-11.8,1.1,-12.9,6.6,2024
20/01/2024,22/01/2024,3,-6.9,1.4,-8.5,6.3,2024
24/01/2024,26/01/2024,3,-5.1,2.5,-8.0,4.5,2024
10/02/2024,12/02/2024,3,-8.4,1.7,-10.2,6.7,2024
20/02/2024,22/02/2024,3,-4.3,1.3,-5.9,5.2,2024
06/12/2024,09/12/2024,4,-4.9,3.4,-8.6,4.4,2024
19/12/2024,23/12/2024,5,-7.7,1.5,-10.1,7.7,2024
13/01/2025,18/01/2025,6,-9.7,3.0,-13.5,4.4,2025
20/01/2025,22/01/2025,3,-7.0,1.6,-8.6,5.2,2025
24/01/2025,27/01/2025,4,-8.5,2.9,-12.4,5.0,2025
30/01/2025,01/02/2025,3,-6.1,0.2,-6.4,4.9,2025
04/02/2025,07/02/2025,4,-9.5,1.9,-11.8,5.4,2025
02/03/2025,04/03/2025,3,-7.8,1.4,-9.1,6.4,2025
05/12/2025,13/12/2025,9,-0.8,2.3,-4.8,5.9,2025
16/12/2025,24/12/2025,9,-6.8,2.9,-11.3,6.8,2025
08/01/2026,14/01/2026,7,-7.6,2.1,-10.8,5.0,2026
28/01/2026,02/02/2026,6,-7.7,4.0,-13.4,6.3,2026
05/02/2026,09/02/2026,5,-5.7,1.7,-8.4,6.0,2026
03/12/2026,11/12/2026,9,-2.3,3.4,-9.1,5.7,2026
14/12/2026,18/12/2026,5,-5.2,1.4,-7.0,4.6,2026
25/12/2026,28/12/2026,4,-5.2,1.5,-7.0,8.2,2026
13/01/2027,18/01/2027,6,-6.8,1.6,-8.5,5.1,2027
22/01/2027,26/01/2027,5,-11.2,4.4,-17.8,4.3,2027
31/01/2027,04/02/2027,5,-6.8,0.9,-8.1,4.5,2027
08/02/2027,12/02/2027,5,-7.2,1.9,-9.2,5.5,2027
19/02/2027,23/02/2027,5,-7.6,1.8,-9.8,6.7,2027
02/12/2027,04/12/2027,3,2.5,0.0,2.5,3.8,2027
08/12/2027,13/12/2027,6,1.0,1.7,-0.9,4.4,2027
17/12/2027,19/12/2027,3,-4.2,2.9,-6.4,5.2,2027
03/01/2028,06/01/2028,4,-6.0,4.4,-10.8,5.0,2028
14/01/2028,16/01/2028,3,-10.0,4.2,-13.4,6.6,2028
18/01/2028,23/01/2028,6,-5.5,2.7,-8.5,4.7,2028
25/12/2028,31/12/2028,7,-2.5,2.1,-5.3,6.5,2028
01/01/2029,03/01/2029,3,-9.1,3.8,-13.0,5.8,2029
22/01/2029,28/01/2029,7,-10.1,2.9,-14.7,5.8,2029
02/02/2029,05/02/2029,4,-5.0,1.0,-6.5,5.1,2029
07/02/2029,10/02/2029,4,-7.5,1.3,-8.6,7.1,2029
11/12/2029,18/12/2029,8,-7.1,3.0,-12.0,6.0,2029
01/01/2030,04/01/2030,4,-13.3,4.9,-16.2,6.3,2030
07/01/2030,10/01/2030,4,-9.4,3.4,-13.1,5.2,2030
21/01/2030,26/01/2030,6,-11.1,2.4,-13.6,6.5,2030
28/01/2030,30/01/2030,3,-8.7,1.1,-9.9,4.9,2030
26/02/2030,01/03/2030,4,-9.4,1.8,-11.4,4.9,2030
07/12/2030,09/12/2030,3,-4.7,2.4,-7.0,7.1,2030
05/01/2031,08/01/2031,4,-11.9,4.8,-17.5,6.9,2031
26/01/2031,29/01/2031,4,-10.0,0.8,-11.0,6.4,2031
31/01/2031,17/02/2031,18,-11.6,3.1,-18.7,6.0,2031
19/02/2031,21/02/2031,3,-13.3,1.9,-14.4,6.6,2031
23/02/2031,01/03/2031,7,-10.7,3.1,-16.1,4.3,2031
19/12/2031,21/12/2031,3,0.6,0.6,-0.0,6.2,2031
28/12/2031,31/12/2031,4,-1.6,2.4,-3.4,5.1,2031
04/01/2032,06/01/2032,3,-8.9,3.5,-12.5,4.8,2032
12/01/2032,14/01/2032,3,-5.1,0.3,-5.4,6.0,2032
18/01/2032,24/01/2032,7,-6.5,1.0,-8.2,7.3,2032
08/02/2032,15/02/2032,8,-11.6,6.1,-21.9,5.8,2032
04/12/2032,06/12/2032,3,0.8,0.9,0.0,3.9,2032
08/12/2032,12/12/2032,5,-2.7,3.2,-6.0,5.2,2032
14/12/2032,17/12/2032,4,-7.1,5.6,-14.8,6.1,2032
07/01/2033,10/01/2033,4,-8.9,1.7,-10.9,5.3,2033
08/02/2033,12/02/2033,5,-7.7,3.0,-10.4,5.7,2033
03/03/2033,06/03/2033,4,-9.0,3.4,-12.1,6.8,2033
11/03/2033,13/03/2033,3,-10.9,1.4,-12.1,7.0,2033
13/12/2033,18/12/2033,6,-5.8,1.2,-7.7,5.3,2033
21/12/2033,23/12/2033,3,-3.5,0.9,-4.5,4.0,2033
25/12/2033,31/12/2033,7,-11.3,4.4,-16.0,6.5,2033
01/01/2034,08/01/2034,8,-12.4,5.0,-18.2,7.9,2034
13/01/2034,16/01/2034,4,-7.8,2.6,-10.5,5.8,2034
17/03/2034,20/03/2034,4,-5.9,1.8,-8.2,6.2,2034
07/12/2034,09/12/2034,3,-4.1,2.0,-6.1,5.0,2034
11/12/2034,13/12/2034,3,-4.2,1.2,-5.5,3.8,2034
11/01/2035,15/01/2035,5,-6.3,2.6,-8.7,5.2,2035
