begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
25/06/2023,28/06/2023,4,34.9,2.2,37.1,108.8,2023
25/07/2023,27/07/2023,3,34.1,0.8,34.8,105.3,2023
02/08/2023,04/08/2023,3,35.5,1.1,36.4,110.4,2023
24/08/2023,26/08/2023,3,33.6,2.8,36.4,112.1,2023
07/06/2024,11/06/2024,5,34.4,1.8,35.8,113.4,2024
07/07/2024,10/07/2024,4,31.7,1.8,33.2,100.3,2024
13/07/2024,15/07/2024,3,30.5,1.4,32.1,91.7,2024
17/07/2024,19/07/2024,3,33.5,2.9,36.0,105.1,2024
15/07/2025,19/07/2025,5,29.6,1.3,30.9,91.0,2025
25/07/2025,31/07/2025,7,30.4,1.3,31.6,98.0,2025
03/08/2025,05/08/2025,3,30.3,2.5,33.1,94.5,2025
15/08/2025,19/08/2025,5,33.2,2.0,35.3,105.0,2025
21/08/2025,23/08/2025,3,32.0,1.0,33.1,108.3,2025
03/07/2026,06/07/2026,4,34.7,3.0,38.7,102.7,2026
16/07/2026,19/07/2026,4,33.5,1.0,34.2,104.3,2026
27/07/2026,29/07/2026,3,33.9,0.6,34.7,100.0,2026
03/08/2026,06/08/2026,4,32.4,1.2,34.1,103.0,2026
29/08/2026,02/09/2026,5,35.3,0.9,36.3,106.1,2026
04/07/2027,07/07/2027,4,33.1,1.0,34.3,101.3,2027
09/07/2027,13/07/2027,5,32.7,2.4,35.9,99.5,2027
16/07/2027,24/07/2027,9,34.0,3.5,40.5,105.8,2027
30/07/2027,02/08/2027,4,33.7,0.8,34.2,101.7,2027
20/06/2028,22/06/2028,3,36.5,0.6,37.2,114.7,2028
29/06/2028,01/07/2028,3,33.1,0.9,33.7,99.0,2028
12/07/2028,18/07/2028,7,33.2,2.2,37.1,102.4,2028
22/07/2028,24/07/2028,3,31.2,1.7,33.1,100.0,2028
30/05/2029,02/06/2029,4,33.3,1.5,34.9,102.1,2029
21/06/2029,26/06/2029,6,32.5,2.8,36.4,102.3,2029
03/07/2029,08/07/2029,6,34.0,2.1,35.8,110.0,2029
14/07/2029,20/07/2029,7,35.1,2.1,38.7,115.0,2029
19/08/2029,22/08/2029,4,31.6,1.4,32.4,95.8,2029
17/06/2030,19/06/2030,3,30.2,0.9,31.2,90.2,2030
29/06/2030,03/07/2030,5,32.7,1.5,34.2,103.5,2030
06/07/2030,10/07/2030,5,31.6,2.0,34.2,95.8,2030
13/07/2030,15/07/2030,3,30.4,0.3,30.7,98.8,2030
31/08/2030,06/09/2030,7,31.4,2.1,34.3,102.1,2030
29/07/2031,05/08/2031,8,32.5,1.3,34.5,100.2,2031
14/08/2031,19/08/2031,6,32.0,1.3,33.3,101.8,2031
07/09/2031,09/09/2031,3,35.0,0.3,35.3,113.5,2031
12/07/2032,16/07/2032,5,33.6,2.3,36.8,105.0,2032
21/07/2032,28/07/2032,8,34.1,1.9,37.3,104.2,2032
05/08/2032,07/08/2032,3,32.5,0.6,32.8,99.2,2032
24/08/2032,26/08/2032,3,32.3,0.9,33.3,100.7,2032
17/05/2033,19/05/2033,3,34.3,1.7,36.0,100.2,2033
10/06/2033,13/06/2033,4,34.0,2.8,36.2,101.2,2033
18/06/2033,25/06/2033,8,30.6,1.3,33.2,96.0,2033
30/06/2033,03/07/2033,4,31.2,1.3,32.4,97.4,2033
19/07/2033,21/07/2033,3,33.7,0.3,34.1,103.4,2033
20/08/2033,23/08/2033,4,30.9,1.9,33.4,95.8,2033
29/06/2034,01/07/2034,3,32.9,1.1,34.1,102.7,2034
03/07/2034,05/07/2034,3,34.8,2.8,37.5,114.5,2034
02/08/2034,10/08/2034,9,33.2,2.4,36.2,108.1,2034
27/08/2034,30/08/2034,4,35.4,2.0,37.3,115.7,2034
03/09/2034,06/09/2034,4,34.5,2.7,37.1,118.9,2034
13/07/2035,17/07/2035,5,33.0,1.3,34.5,99.5,2035
19/07/2035,21/07/2035,3,36.3,1.5,37.4,115.9,2035
28/07/2035,01/08/2035,5,34.9,1.7,36.9,111.4,2035
18/06/2036,21/06/2036,4,31.9,1.4,33.9,99.7,2036
23/06/2036,26/06/2036,4,30.9,0.6,31.7,95.1,2036
18/07/2036,21/07/2036,4,34.4,1.3,36.2,107.1,2036
26/07/2036,30/07/2036,5,33.7,2.3,36.2,101.2,2036
09/08/2036,12/08/2036,4,34.2,0.6,35.0,111.5,2036
23/08/2036,25/08/2036,3,31.7,1.5,32.8,103.7,2036
05/06/2037,09/06/2037,5,34.9,1.0,36.1,108.3,2037
19/06/2037,22/06/2037,4,32.1,0.8,33.2,99.7,2037
26/06/2037,30/06/2037,5,35.2,3.2,37.8,116.0,2037
11/08/2037,14/08/2037,4,34.7,1.2,36.1,114.2,2037
17/08/2037,19/08/2037,3,31.3,0.9,32.2,99.5,2037
24/08/2037,27/08/2037,4,34.0,1.7,36.1,109.5,2037
01/07/2038,03/07/2038,3,31.8,1.8,33.9,97.5,2038
11/07/2038,13/07/2038,3,31.7,0.6,32.2,97.2,2038
19/07/2038,25/07/2038,7,35.0,1.7,38.4,109.7,2038
28/07/2038,30/07/2038,3,32.4,1.3,33.9,97.9,2038
04/08/2038,09/08/2038,6,36.6,1.4,37.8,125.1,2038
19/08/2038,21/08/2038,3,32.8,1.4,34.4,97.5,2038
29/08/2038,31/08/2038,3,32.2,1.7,33.9,104.0,2038
25/06/2043,28/06/2043,4,36.3,2.3,38.5,114.1,2043
25/07/2043,27/07/2043,3,35.6,0.8,36.3,110.5,2043
02/08/2043,04/08/2043,3,36.8,1.2,37.8,115.2,2043
24/08/2043,26/08/2043,3,34.9,2.8,37.8,117.3,2043
07/06/2044,11/06/2044,5,35.8,1.9,37.2,119.1,2044
