ZoneName,Month,Day,Hour,PMV,PPD,CLO,OCC,TDryBulb,TWetBulb,MRT,RelHum
Zone_1,1,1,0,-1.3144228929593322,41.013587832747625,0.7499999951999999,0,18.055998992883918,8.198825857053173,16.111997985767825,0.2139013789295186
Zone_1,1,1,1,-1.3103046214775602,40.79971035291779,0.7499999951999999,0,18.107923488198356,8.032603612320669,16.21584697639671,0.2004645383772891
Zone_1,1,1,2,-1.3197621521601273,41.28937468658335,0.7499999951999999,0,18.08862419082324,7.864237390272706,16.177248381646475,0.19013941774665694
Zone_1,1,1,3,-1.3259233529677117,41.60924564906298,0.7499999951999999,0,18.072818542006935,7.7720886004621725,16.145637084013874,0.18471679776798383
Zone_1,1,1,4,-1.3283259233002191,41.73422745475984,0.7499999951999999,0,18.067629833964933,7.730777012675916,16.135259667929866,0.18220848443191356
Zone_1,1,1,5,-1.332912831501132,41.97320084420638,0.7499999951999999,0,18.051764658841496,7.684501222184158,16.103529317682987,0.1798230231431356
Zone_1,1,1,6,-0.9724495529767626,24.97411919636669,0.91992,0,18.048703900460225,7.622046248935897,16.097407800920447,0.17585607673231757
Zone_1,1,1,7,-0.9714661769649089,24.933792655468412,0.91992,0,18.05986425887416,7.596005056029676,16.119728517748324,0.17366486857621613
Zone_1,1,1,8,-0.9554113369336429,24.28147299646017,0.91992,1,18.118433488387605,7.775739034466049,16.236866976775215,0.18302251378687145
Zone_1,1,1,9,-0.9246708268889624,23.05946967446864,0.91992,1,18.231882855693215,8.113975950719883,16.463765711386426,0.20042209454074125
Zone_1,1,1,10,-0.8981524851543269,22.033897213439065,0.91992,1,18.3330134602073,8.360890266005208,16.66602692041461,0.212337854744569
Zone_1,1,1,11,-0.8799138215827194,21.34595004752606,0.91992,1,18.40729707446331,8.510985237862425,16.814594148926627,0.21900577780609384
Zone_1,1,1,12,-0.8556695916984537,20.452685704840963,0.91992,1,18.52199622203604,8.651224579734937,17.043992444072085,0.22315032909343427
Zone_1,1,1,13,-0.8465878643621135,20.123718962666505,0.91992,1,18.56775853181347,8.68954658948556,17.135517063626942,0.22365760482382338
Zone_1,1,1,14,-0.8671363434404155,20.87220229163275,0.91992,1,18.458724188781197,8.62878046235219,16.91744837756239,0.22452330919015256
Zone_1,1,1,15,-0.8783356598554791,21.28651961240187,0.91992,1,18.396071314919354,8.611208853019004,16.792142629838704,0.22616555006710196
Zone_1,1,1,16,-0.8969458798853479,21.98766441225835,0.91992,1,18.29864486328857,8.582277211625332,16.59728972657714,0.2286294915080595
Zone_1,1,1,17,-0.8999111953563433,22.10028065361691,0.91992,1,18.274222119221953,8.621384041261551,16.548444238443903,0.2323557194197257
Zone_1,1,1,18,-0.9194425475232239,22.85686309085448,0.91992,0,18.173180871108823,8.545671742323098,16.346361742217653,0.23189985948003386
Zone_1,1,1,19,-0.9332894830790095,23.396678499157392,0.91992,0,18.11484095642874,8.428991393273755,16.229681912857476,0.22670821854848114
Zone_1,1,1,20,-0.9366507692773776,23.52970806705456,0.91992,0,18.099456928110847,8.406214836560032,16.198913856221683,0.22589017980575504
Zone_1,1,1,21,-0.9397504458394536,23.65276214419468,0.91992,0,18.082647859930166,8.39814599445982,16.165295719860328,0.22609279421600337
Zone_1,1,1,22,-0.9423544150004757,23.756446161839715,0.91992,0,18.06839063050333,8.391420875525444,16.136781261006657,0.22631181294885783
Zone_1,1,1,23,-0.9513278642077937,24.11614645757254,0.91992,0,18.028571649959428,8.325196055212025,16.057143299918856,0.22366069885489107
Zone_1,1,2,0,-0.9618793649528715,24.542452034349434,0.91992,0,17.99336681679318,8.192679747990326,15.986733633586354,0.21629806436751092
Zone_1,1,2,1,-0.9705429764156839,24.896103624088486,0.91992,0,17.968812832138287,8.062653151560053,15.937625664276574,0.20866097105441636
Zone_1,1,2,2,-0.9793546654016381,25.258585232476886,0.91992,0,17.940578591355713,7.945823629638335,15.88115718271142,0.20207990157300817
Zone_1,1,2,3,-0.988345674072467,25.631652980081622,0.91992,0,17.911408363885116,7.828371479250604,15.82281672777023,0.19549305623699925
Zone_1,1,2,4,-0.9957649915621231,25.941733935579332,0.91992,0,17.889414558434414,7.720985599126168,15.77882911686882,0.18929820486509438
Zone_1,1,2,5,-1.0017909953066146,26.19518957806055,0.91992,0,17.87266468381514,7.6286276817478615,15.745329367630276,0.18385935817491045
Zone_1,1,2,6,-0.9934407312607739,25.84431652046162,0.9271999999999999,0,17.859093770698106,7.530314310135415,15.718187541396206,0.17791661465814457
Zone_1,1,2,7,-0.9974545491667559,26.01261130203351,0.9271999999999999,0,17.84994959776515,7.459085475139119,15.699899195530302,0.1735470952071055
Zone_1,1,2,8,-0.9946227172854408,25.8938296573392,0.9271999999999999,1,17.850164889019123,7.539506519798669,15.700329778038245,0.1788930175555673
Zone_1,1,2,9,-0.987866971717804,25.61176854714779,0.9271999999999999,1,17.87341007345522,7.622339742974882,15.746820146910437,0.18339603105618085
Zone_1,1,2,10,-0.9765705626946753,25.14370691376067,0.9271999999999999,1,17.91979344756693,7.724433448411002,15.839586895133865,0.18819232327928387
Zone_1,1,2,11,-0.9663692036430164,24.726042751250294,0.9271999999999999,1,17.954311115466137,7.852072082560857,15.908622230932274,0.19519227013472434
Zone_1,1,2,12,-0.9404492824898175,23.68109956763391,0.9271999999999999,1,18.066205792739165,8.060196629975003,16.132411585478334,0.20416013881501283
Zone_1,1,2,13,-0.9367257461597286,23.53266190917367,0.9271999999999999,1,18.07972518670446,8.10209500717655,16.15945037340892,0.20637476545577602
