begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
01/01/2023,14/01/2023,14,-8.5,3.3,-14.3,2.2,2023
16/01/2023,18/01/2023,3,-4.7,1.5,-6.4,2.0,2023
18/02/2023,22/02/2023,5,-7.7,3.3,-13.3,3.3,2023
15/12/2023,22/12/2023,8,-10.5,6.0,-18.3,3.4,2023
03/01/2024,05/01/2024,3,-8.1,4.6,-13.4,4.8,2024
23/01/2024,29/01/2024,7,-10.9,3.1,-14.4,19.8,2024
01/02/2024,05/02/2024,5,-13.6,5.2,-19.4,2.7,2024
08/02/2024,10/02/2024,3,-9.8,3.5,-13.4,2.8,2024
06/03/2024,08/03/2024,3,-6.1,0.6,-6.4,3.4,2024
03/12/2024,05/12/2024,3,-6.1,3.5,-9.5,3.4,2024
15/12/2024,21/12/2024,7,-10.6,3.1,-16.4,2.2,2024
27/12/2024,31/12/2024,5,-13.8,4.3,-17.4,1.8,2024
23/01/2025,25/01/2025,3,-8.8,1.5,-10.4,2.8,2025
27/01/2025,03/02/2025,8,-8.8,2.7,-12.4,2.0,2025
22/02/2025,28/02/2025,7,-6.5,0.6,-7.4,2.0,2025
08/03/2025,10/03/2025,3,-7.8,1.1,-8.4,1.7,2025
12/11/2025,18/11/2025,7,-6.7,0.8,-7.4,1.4,2025
30/01/2026,15/02/2026,17,-14.6,4.6,-22.4,2.7,2026
01/12/2026,04/12/2026,4,-1.7,2.1,-4.5,4.0,2026
05/12/2026,13/12/2026,9,-7.6,2.6,-11.4,86.8,2026
07/01/2027,10/01/2027,4,-6.4,4.0,-12.4,2.0,2027
08/02/2027,12/02/2027,5,-4.6,1.6,-7.4,3.5,2027
03/03/2027,05/03/2027,3,-4.4,1.0,-5.4,3.2,2027
15/03/2027,17/03/2027,3,-5.4,2.6,-8.4,5.4,2027
01/12/2027,04/12/2027,4,-5.7,1.7,-7.5,1.9,2027
01/01/2028,14/01/2028,14,-8.4,3.3,-14.2,2.2,2028
16/01/2028,18/01/2028,3,-4.6,1.5,-6.3,2.0,2028
18/02/2028,22/02/2028,5,-7.6,3.3,-13.1,3.3,2028
15/12/2028,22/12/2028,8,-10.3,5.9,-18.2,3.4,2028
03/01/2029,05/01/2029,3,-7.9,4.6,-13.2,4.8,2029
23/01/2029,29/01/2029,7,-10.6,3.1,-14.2,19.8,2029
01/02/2029,05/02/2029,5,-13.4,5.2,-19.1,2.7,2029
08/02/2029,10/02/2029,3,-9.5,3.5,-13.2,2.8,2029
06/03/2029,08/03/2029,3,-5.9,0.6,-6.2,3.4,2029
03/12/2029,05/12/2029,3,-5.9,3.5,-9.3,3.4,2029
15/12/2029,21/12/2029,7,-10.4,3.1,-16.2,2.2,2029
27/12/2029,31/12/2029,5,-13.6,4.3,-17.2,1.8,2029
23/01/2030,25/01/2030,3,-8.6,1.5,-10.2,2.8,2030
27/01/2030,03/02/2030,8,-8.6,2.7,-12.2,2.0,2030
22/02/2030,28/02/2030,7,-6.2,0.6,-7.2,2.0,2030
08/03/2030,10/03/2030,3,-7.6,1.1,-8.3,1.7,2030
12/11/2030,18/11/2030,7,-6.5,0.8,-7.2,1.4,2030
27/01/2031,15/02/2031,20,-13.4,5.0,-22.3,2.6,2031
06/03/2031,09/03/2031,4,-5.8,1.0,-7.3,2.3,2031
01/12/2031,04/12/2031,4,-1.5,2.0,-4.3,4.0,2031
07/12/2031,09/12/2031,3,-7.3,3.4,-11.2,253.9,2031
11/12/2031,14/12/2031,4,-6.3,2.7,-10.2,4.4,2031
07/01/2032,10/01/2032,4,-6.3,4.0,-12.3,2.0,2032
08/02/2032,12/02/2032,5,-4.5,1.6,-7.3,3.5,2032
03/03/2032,05/03/2032,3,-4.3,1.0,-5.3,3.2,2032
15/03/2032,17/03/2032,3,-5.3,2.6,-8.3,5.4,2032
01/12/2032,04/12/2032,4,-5.6,1.7,-7.4,1.9,2032
01/01/2033,14/01/2033,14,-8.3,3.3,-14.1,2.2,2033
16/01/2033,18/01/2033,3,-4.5,1.5,-6.1,2.0,2033
18/02/2033,22/02/2033,5,-7.5,3.3,-13.0,3.3,2033
15/12/2033,22/12/2033,8,-10.2,5.9,-18.0,3.4,2033
03/01/2034,05/01/2034,3,-7.7,4.6,-13.0,4.8,2034
23/01/2034,29/01/2034,7,-10.4,3.1,-13.9,19.8,2034
01/02/2034,05/02/2034,5,-13.2,5.2,-19.0,2.7,2034
08/02/2034,10/02/2034,3,-9.4,3.5,-13.0,2.8,2034
06/03/2034,08/03/2034,3,-5.8,0.6,-6.1,3.4,2034
03/12/2034,05/12/2034,3,-5.7,3.5,-9.0,3.4,2034
15/12/2034,21/12/2034,7,-10.2,3.1,-16.0,2.2,2034
27/12/2034,31/12/2034,5,-13.4,4.2,-17.0,1.9,2034
23/01/2035,25/01/2035,3,-8.4,1.5,-10.1,2.8,2035
27/01/2035,03/02/2035,8,-8.5,2.7,-12.1,2.0,2035
22/02/2035,28/02/2035,7,-6.1,0.6,-7.1,2.0,2035
08/03/2035,10/03/2035,3,-7.4,1.1,-8.1,1.7,2035
12/11/2035,18/11/2035,7,-6.4,0.8,-7.1,1.4,2035
30/01/2036,15/02/2036,17,-14.2,4.6,-22.0,2.7,2036
01/12/2036,04/12/2036,4,-1.4,2.0,-4.2,4.0,2036
05/12/2036,13/12/2036,9,-7.3,2.5,-11.1,86.8,2036
07/01/2037,10/01/2037,4,-6.1,3.9,-12.0,2.0,2037
08/02/2037,12/02/2037,5,-4.3,1.6,-7.0,3.5,2037
03/03/2037,05/03/2037,3,-4.1,1.0,-5.1,3.2,2037
15/03/2037,17/03/2037,3,-5.1,2.6,-8.1,5.4,2037
01/12/2037,04/12/2037,4,-5.4,1.7,-7.1,1.9,2037
01/01/2038,14/01/2038,14,-8.0,3.3,-13.8,2.2,2038
16/01/2038,18/01/2038,3,-4.3,1.5,-5.9,2.0,2038
18/02/2038,22/02/2038,5,-7.2,3.3,-12.7,3.3,2038
15/12/2038,22/12/2038,8,-10.0,5.9,-17.8,3.4,2038
03/01/2039,05/01/2039,3,-7.6,4.6,-12.8,4.8,2039
23/01/2039,29/01/2039,7,-10.3,3.1,-13.8,19.8,2039
01/02/2039,05/02/2039,5,-13.0,5.2,-18.7,2.7,2039
08/02/2039,10/02/2039,3,-9.2,3.5,-12.8,2.8,2039
