begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
05/07/2025,08/07/2025,4,30.0,3.2,34.8,87.9,2025
20/07/2025,22/07/2025,3,28.3,1.6,30.2,86.8,2025
12/08/2025,18/08/2025,7,30.3,1.0,32.0,92.0,2025
13/07/2026,16/07/2026,4,27.6,0.8,28.4,84.0,2026
30/07/2026,03/08/2026,5,29.1,1.2,30.6,87.6,2026
13/08/2026,16/08/2026,4,28.8,1.6,30.7,87.2,2026
29/08/2026,31/08/2026,3,28.2,0.2,28.3,84.7,2026
15/07/2027,20/07/2027,6,29.0,2.3,33.0,87.2,2027
26/07/2027,30/07/2027,5,29.8,2.8,33.7,89.7,2027
06/08/2027,11/08/2027,6,27.9,1.5,30.1,84.8,2027
03/07/2028,06/07/2028,4,30.2,2.7,33.2,88.6,2028
21/07/2028,25/07/2028,5,28.5,0.5,29.2,84.4,2028
02/08/2028,04/08/2028,3,30.8,0.5,31.3,91.5,2028
23/08/2028,25/08/2028,3,29.9,2.4,32.4,89.5,2028
02/07/2029,06/07/2029,5,28.5,0.8,29.4,86.2,2029
08/07/2029,10/07/2029,3,26.8,0.4,27.3,82.0,2029
24/07/2029,27/07/2029,4,29.0,2.2,31.5,85.7,2029
11/08/2029,14/08/2029,4,29.0,1.5,31.3,88.3,2029
27/08/2029,29/08/2029,3,31.1,1.8,32.9,91.9,2029
25/09/2029,27/09/2029,3,28.4,1.6,29.5,86.2,2029
04/08/2030,08/08/2030,5,27.7,1.1,29.3,84.3,2030
25/08/2030,28/08/2030,4,28.6,0.7,29.4,87.6,2030
10/07/2031,14/07/2031,5,28.4,2.4,32.3,85.1,2031
17/07/2031,19/07/2031,3,28.1,1.5,29.8,85.7,2031
09/08/2031,12/08/2031,4,29.6,2.0,32.0,90.1,2031
14/08/2031,16/08/2031,3,27.4,0.9,28.0,84.1,2031
27/07/2032,29/07/2032,3,28.8,2.1,31.1,89.0,2032
11/08/2032,13/08/2032,3,27.7,1.8,29.6,85.1,2032
15/08/2032,18/08/2032,4,31.6,2.7,34.9,94.6,2032
29/08/2032,31/08/2032,3,27.1,0.6,27.7,82.9,2032
03/07/2033,06/07/2033,4,28.6,3.0,32.2,88.5,2033
16/07/2033,19/07/2033,4,27.4,1.5,28.8,82.3,2033
30/07/2033,01/08/2033,3,28.4,4.1,33.1,86.4,2033
05/08/2033,07/08/2033,3,26.5,1.1,27.6,82.0,2033
09/08/2033,11/08/2033,3,28.2,2.8,31.4,86.9,2033
28/08/2033,03/09/2033,7,27.1,1.8,30.1,85.0,2033
15/07/2034,18/07/2034,4,27.1,1.1,28.7,83.5,2034
24/07/2034,26/07/2034,3,27.9,0.7,28.5,87.2,2034
05/08/2034,08/08/2034,4,27.6,1.0,29.0,85.2,2034
14/08/2034,17/08/2034,4,29.8,4.0,35.3,89.0,2034
22/08/2034,24/08/2034,3,26.6,0.4,27.0,82.1,2034
19/09/2034,22/09/2034,4,27.2,1.0,28.5,85.4,2034
22/07/2035,24/07/2035,3,28.2,2.0,30.5,85.2,2035
01/08/2035,03/08/2035,3,28.2,3.0,31.6,85.6,2035
14/08/2035,19/08/2035,6,28.8,1.4,31.1,86.6,2035
27/08/2035,29/08/2035,3,29.9,1.9,32.0,89.4,2035
15/08/2036,18/08/2036,4,29.0,2.1,32.1,86.9,2036
28/08/2036,31/08/2036,4,32.4,2.0,34.6,95.5,2036
