begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
09/01/2044,11/01/2044,3,-4.9,0.4,-5.4,1.6,2044
15/01/2044,17/01/2044,3,-5.8,1.4,-7.2,2.5,2044
20/01/2044,25/01/2044,6,-4.1,0.8,-5.0,1.7,2044
27/01/2044,31/01/2044,5,-5.5,2.3,-8.1,1.4,2044
19/02/2044,21/02/2044,3,-7.9,3.9,-10.7,1.7,2044
23/02/2044,28/02/2044,6,-7.9,3.9,-12.8,1.8,2044
01/01/2045,04/01/2045,4,-7.2,0.6,-7.9,1.5,2045
18/01/2045,20/01/2045,3,-7.0,2.0,-8.9,1.2,2045
22/01/2045,24/01/2045,3,-5.0,2.1,-6.3,2.0,2045
29/01/2045,03/02/2045,6,-4.2,1.7,-7.0,1.2,2045
14/02/2045,16/02/2045,3,-6.3,2.7,-8.4,2.1,2045
10/12/2045,13/12/2045,4,-3.4,0.1,-3.5,2.9,2045
01/01/2046,03/01/2046,3,-3.6,1.2,-5.0,1.5,2046
21/01/2046,29/01/2046,9,-7.1,3.4,-13.5,1.7,2046
05/02/2046,09/02/2046,5,-6.1,1.3,-7.9,1.9,2046
10/12/2046,12/12/2046,3,-5.9,1.6,-7.0,3.4,2046
09/01/2047,15/01/2047,7,-3.4,2.6,-6.9,2.1,2047
20/01/2047,30/01/2047,11,-6.1,2.3,-9.6,1.7,2047
25/02/2047,27/02/2047,3,-4.7,1.2,-5.8,2.0,2047
06/12/2047,08/12/2047,3,-1.2,0.8,-1.9,1.5,2047
01/01/2048,03/01/2048,3,-5.2,2.5,-8.0,1.5,2048
09/01/2048,12/01/2048,4,-4.6,0.7,-5.1,1.6,2048
16/01/2048,24/01/2048,9,-6.0,2.1,-8.7,1.6,2048
29/01/2048,31/01/2048,3,-7.1,2.9,-8.9,1.1,2048
21/02/2048,25/02/2048,5,-5.3,0.9,-6.4,1.5,2048
05/01/2049,09/01/2049,5,-4.6,0.5,-5.1,2.1,2049
12/01/2049,16/01/2049,5,-5.7,1.6,-7.6,2.3,2049
28/01/2049,30/01/2049,3,-6.9,1.9,-8.9,1.4,2049
15/02/2049,20/02/2049,6,-6.6,0.9,-7.9,1.9,2049
26/02/2049,28/02/2049,3,-5.3,1.9,-6.8,2.2,2049
03/12/2049,05/12/2049,3,-5.9,2.4,-8.4,2.0,2049
10/01/2050,12/01/2050,3,-5.6,2.3,-8.2,1.6,2050
14/01/2050,26/01/2050,13,-6.2,2.4,-11.2,1.8,2050
19/02/2050,21/02/2050,3,-7.1,1.9,-9.1,1.6,2050
12/11/2050,14/11/2050,3,-6.9,2.7,-9.2,2.1,2050
06/12/2050,08/12/2050,3,-4.9,1.2,-5.7,1.5,2050
03/01/2051,05/01/2051,3,-6.1,0.4,-6.4,1.6,2051
08/01/2051,11/01/2051,4,-6.1,1.4,-7.7,1.6,2051
21/01/2051,23/01/2051,3,-4.0,0.9,-4.8,2.0,2051
26/01/2051,31/01/2051,6,-8.3,2.9,-10.5,1.5,2051
03/02/2051,06/02/2051,4,-5.2,2.2,-7.4,2.2,2051
08/02/2051,10/02/2051,3,-10.4,1.8,-12.1,1.7,2051
15/01/2052,21/01/2052,7,-4.4,1.8,-6.5,1.8,2052
08/12/2052,12/12/2052,5,-4.1,1.8,-5.4,2.6,2052
14/12/2052,16/12/2052,3,-2.3,2.1,-4.7,1.7,2052
14/01/2053,16/01/2053,3,-4.5,2.2,-7.0,2.6,2053
18/02/2053,20/02/2053,3,-2.3,2.0,-4.3,1.9,2053
21/11/2053,27/11/2053,7,-2.3,1.4,-3.9,2.4,2053
20/12/2053,22/12/2053,3,-1.9,1.3,-3.0,1.6,2053
25/12/2053,27/12/2053,3,-2.3,0.9,-3.3,1.8,2053
01/01/2054,07/01/2054,7,-3.8,0.9,-5.7,1.8,2054
12/01/2054,14/01/2054,3,-4.8,0.9,-5.8,2.0,2054
17/01/2054,20/01/2054,4,-6.0,2.0,-8.6,1.3,2054
23/01/2054,28/01/2054,6,-8.0,2.3,-10.8,1.8,2054
11/02/2054,14/02/2054,4,-7.8,2.5,-11.3,4.0,2054
17/02/2054,19/02/2054,3,-5.9,2.7,-7.9,2.0,2054
22/02/2054,24/02/2054,3,-9.5,6.0,-13.3,1.5,2054
10/12/2054,12/12/2054,3,-6.1,3.2,-8.7,3.4,2054
12/01/2055,26/01/2055,15,-6.5,1.8,-9.9,1.9,2055
18/02/2055,20/02/2055,3,-4.7,0.7,-5.3,1.9,2055
01/01/2056,04/01/2056,4,-3.8,0.7,-4.5,1.5,2056
13/01/2056,16/01/2056,4,-5.1,1.3,-6.8,2.5,2056
20/01/2056,28/01/2056,9,-6.2,1.8,-9.1,1.8,2056
01/02/2056,03/02/2056,3,-4.1,0.8,-4.6,1.4,2056
16/02/2056,22/02/2056,7,-5.4,2.3,-9.7,1.8,2056
22/01/2057,29/01/2057,8,-3.6,1.8,-6.5,1.8,2057
04/02/2057,07/02/2057,4,-3.8,1.7,-5.2,2.4,2057
17/02/2057,19/02/2057,3,-3.5,1.4,-5.1,2.0,2057
20/11/2057,22/11/2057,3,-3.9,2.0,-5.7,1.5,2057
08/12/2057,10/12/2057,3,-2.9,1.4,-4.0,1.5,2057
05/01/2058,08/01/2058,4,-9.3,1.9,-10.8,2.2,2058
10/01/2058,16/01/2058,7,-4.6,1.8,-6.0,2.1,2058
20/01/2058,29/01/2058,10,-7.9,3.6,-12.4,1.7,2058
10/02/2058,13/02/2058,4,-4.4,2.4,-7.2,3.7,2058
19/12/2058,22/12/2058,4,-3.6,1.4,-4.6,1.7,2058
14/01/2059,17/01/2059,4,-4.0,2.0,-5.8,2.4,2059
20/01/2059,24/01/2059,5,-6.1,1.8,-7.5,1.8,2059
26/01/2059,31/01/2059,6,-4.0,1.5,-6.1,1.5,2059
05/01/2060,16/01/2060,12,-4.8,1.8,-8.1,2.1,2060
21/01/2060,24/01/2060,4,-3.5,0.6,-4.4,1.8,2060
