begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
01/07/2023,04/07/2023,4,30.2,0.5,30.9,95.5,2023
13/07/2023,18/07/2023,6,33.3,1.9,35.0,106.6,2023
21/07/2023,24/07/2023,4,32.4,1.9,34.0,99.0,2023
28/07/2023,04/08/2023,8,32.5,2.0,36.1,97.1,2023
16/08/2023,22/08/2023,7,31.3,0.8,32.0,94.2,2023
26/08/2023,28/08/2023,3,32.4,1.2,33.0,100.1,2023
08/06/2024,13/06/2024,6,31.6,1.7,33.7,100.6,2024
29/06/2024,03/07/2024,5,30.7,0.5,30.9,95.7,2024
09/07/2024,17/07/2024,9,32.8,2.3,35.0,104.6,2024
19/07/2024,23/07/2024,5,32.4,1.7,34.0,105.8,2024
01/08/2024,03/08/2024,3,30.4,1.2,31.0,97.4,2024
11/08/2024,15/08/2024,5,30.0,0.7,31.0,98.4,2024
07/07/2025,14/07/2025,8,34.4,2.1,37.0,104.7,2025
16/07/2025,19/07/2025,4,31.7,1.5,33.0,96.7,2025
21/08/2025,27/08/2025,7,34.7,2.8,37.0,107.3,2025
03/09/2025,05/09/2025,3,31.5,0.6,31.8,94.5,2025
11/09/2025,14/09/2025,4,31.3,0.6,31.8,95.0,2025
18/06/2026,21/06/2026,4,33.9,1.0,34.6,101.3,2026
30/06/2026,11/07/2026,12,35.6,1.7,38.0,107.9,2026
02/08/2026,06/08/2026,5,34.1,2.4,38.0,105.8,2026
19/08/2026,25/08/2026,7,35.2,2.0,38.0,106.8,2026
16/06/2027,22/06/2027,7,34.3,1.3,35.7,110.5,2027
26/07/2027,29/07/2027,4,35.7,2.2,38.0,108.9,2027
31/07/2027,09/08/2027,10,35.4,2.8,39.0,104.8,2027
11/08/2027,13/08/2027,3,31.9,1.0,32.9,93.0,2027
01/07/2028,04/07/2028,4,30.5,0.5,31.3,96.9,2028
13/07/2028,18/07/2028,6,33.6,1.9,35.3,108.2,2028
21/07/2028,24/07/2028,4,32.8,1.9,34.3,100.3,2028
28/07/2028,04/08/2028,8,32.8,2.0,36.4,98.3,2028
16/08/2028,22/08/2028,7,31.6,0.8,32.4,95.4,2028
26/08/2028,28/08/2028,3,32.7,1.2,33.4,101.5,2028
08/06/2029,13/06/2029,6,31.8,1.7,33.9,101.6,2029
29/06/2029,03/07/2029,5,30.9,0.5,31.2,96.6,2029
09/07/2029,17/07/2029,9,33.1,2.3,35.2,105.7,2029
19/07/2029,23/07/2029,5,32.6,1.7,34.2,107.0,2029
01/08/2029,03/08/2029,3,30.7,1.2,31.4,98.6,2029
11/08/2029,15/08/2029,5,30.4,0.7,31.4,99.7,2029
