begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
25/08/2043,27/08/2043,3,33.6,2.1,36.0,102.3,2043
29/08/2043,31/08/2043,3,35.5,1.9,37.7,103.3,2043
09/06/2044,11/06/2044,3,35.6,2.0,37.4,105.5,2044
24/06/2044,30/06/2044,7,34.8,0.6,35.7,97.5,2044
15/07/2044,17/07/2044,3,35.5,1.7,37.4,111.9,2044
22/08/2044,24/08/2044,3,34.4,0.9,35.1,105.2,2044
26/08/2044,28/08/2044,3,34.6,2.1,36.6,107.0,2044
10/07/2045,18/07/2045,9,34.3,2.4,37.7,103.4,2045
01/08/2045,05/08/2045,5,34.1,1.9,36.0,104.9,2045
09/08/2045,11/08/2045,3,31.7,1.4,33.3,107.9,2045
23/08/2045,25/08/2045,3,31.3,1.0,32.4,88.7,2045
15/07/2046,17/07/2046,3,32.9,0.5,33.3,97.0,2046
19/07/2046,25/07/2046,7,33.3,2.3,37.4,100.9,2046
27/07/2046,30/07/2046,4,32.6,1.4,34.7,93.1,2046
08/08/2046,13/08/2046,6,32.6,1.3,34.2,100.7,2046
19/08/2046,24/08/2046,6,32.6,1.5,34.9,98.7,2046
05/06/2047,08/06/2047,4,34.9,0.2,35.2,103.1,2047
12/06/2047,15/06/2047,4,35.7,1.5,37.4,106.4,2047
05/07/2047,08/07/2047,4,39.0,3.9,43.8,112.3,2047
18/07/2047,20/07/2047,3,36.0,1.1,37.1,101.6,2047
23/08/2047,27/08/2047,5,35.1,2.0,37.8,102.3,2047
24/06/2048,26/06/2048,3,33.1,0.9,34.0,93.4,2048
18/07/2048,22/07/2048,5,36.7,3.9,42.4,105.3,2048
28/07/2048,30/07/2048,3,35.6,3.7,39.7,104.7,2048
23/08/2048,25/08/2048,3,33.0,1.5,34.7,99.2,2048
28/08/2048,31/08/2048,4,33.3,1.5,35.1,97.9,2048
08/07/2049,10/07/2049,3,33.9,1.4,35.5,97.0,2049
17/07/2049,20/07/2049,4,34.4,2.0,37.2,99.1,2049
02/08/2049,10/08/2049,9,34.5,1.6,38.5,102.9,2049
22/08/2049,25/08/2049,4,33.6,1.0,35.1,100.9,2049
29/06/2050,04/07/2050,6,36.2,3.2,40.6,105.9,2050
06/07/2050,10/07/2050,5,36.5,2.1,38.6,108.3,2050
20/07/2050,23/07/2050,4,35.1,2.5,37.9,100.6,2050
26/07/2050,28/07/2050,3,33.3,0.4,33.7,99.2,2050
31/07/2050,05/08/2050,6,34.9,2.8,37.6,101.6,2050
19/08/2050,21/08/2050,3,32.6,1.0,33.4,101.8,2050
17/06/2051,19/06/2051,3,35.7,0.8,36.1,98.4,2051
04/07/2051,18/07/2051,15,35.5,1.9,39.4,104.0,2051
02/08/2051,07/08/2051,6,33.6,0.9,34.7,96.4,2051
04/07/2052,07/07/2052,4,33.6,2.1,35.9,101.3,2052
11/07/2052,13/07/2052,3,33.3,1.7,35.2,101.6,2052
19/07/2052,21/07/2052,3,34.4,2.5,37.1,96.6,2052
27/08/2052,29/08/2052,3,32.4,1.1,33.4,94.1,2052
01/07/2053,03/07/2053,3,34.9,1.3,36.3,102.9,2053
22/07/2053,27/07/2053,6,34.6,1.3,36.3,102.5,2053
09/08/2053,11/08/2053,3,34.3,0.6,34.8,99.8,2053
27/08/2053,29/08/2053,3,34.9,0.7,35.5,101.6,2053
12/06/2054,14/06/2054,3,35.0,1.2,36.3,102.4,2054
30/06/2054,03/07/2054,4,36.8,3.4,40.8,103.6,2054
25/07/2054,28/07/2054,4,36.1,2.8,38.7,100.9,2054
19/08/2054,24/08/2054,6,33.7,1.7,36.5,100.7,2054
01/07/2055,05/07/2055,5,37.1,0.5,37.9,102.1,2055
13/07/2055,20/07/2055,8,34.5,2.0,37.0,103.7,2055
23/07/2055,27/07/2055,5,34.3,1.7,36.8,99.3,2055
08/08/2055,10/08/2055,3,35.3,1.3,36.8,119.6,2055
12/08/2055,20/08/2055,9,35.4,2.4,39.6,115.0,2055
08/07/2056,12/07/2056,5,37.6,2.6,41.5,112.8,2056
14/07/2056,16/07/2056,3,36.9,0.4,37.3,115.3,2056
18/07/2056,27/07/2056,10,36.2,2.3,40.7,105.8,2056
05/08/2056,07/08/2056,3,34.2,0.3,34.5,98.1,2056
27/08/2056,31/08/2056,5,34.3,0.6,34.8,100.1,2056
