begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
05/02/2025,12/02/2025,8,-4.7,3.3,-10.6,4.5,2025
25/02/2025,01/03/2025,5,-1.5,1.8,-3.7,4.1,2025
14/11/2025,16/11/2025,3,-0.5,0.9,-1.2,4.3,2025
25/11/2025,28/11/2025,4,-0.5,0.6,-1.3,5.1,2025
01/12/2025,03/12/2025,3,-1.0,2.5,-3.9,2.1,2025
01/02/2026,03/02/2026,3,-0.5,1.2,-1.6,2.5,2026
06/02/2026,14/02/2026,9,-2.8,2.8,-6.7,4.7,2026
20/02/2026,01/03/2026,10,-3.0,1.1,-4.4,4.0,2026
26/03/2026,28/03/2026,3,0.3,0.4,-0.2,1.5,2026
26/11/2026,30/11/2026,5,-1.9,1.7,-4.3,5.1,2026
01/02/2027,03/02/2027,3,-2.3,2.0,-4.5,2.5,2027
05/02/2027,07/02/2027,3,-0.4,2.0,-2.6,5.0,2027
20/02/2027,22/02/2027,3,-0.9,0.4,-1.3,4.3,2027
26/02/2027,28/02/2027,3,-1.0,1.3,-2.2,3.5,2027
26/12/2027,30/12/2027,5,-0.4,1.3,-2.6,4.0,2027
15/01/2028,18/01/2028,4,1.7,0.8,0.8,3.9,2028
28/01/2028,31/01/2028,4,1.2,0.3,0.9,2.5,2028
13/03/2028,16/03/2028,4,1.4,0.7,0.6,4.4,2028
29/11/2028,01/12/2028,3,1.3,1.0,0.4,3.3,2028
04/02/2029,13/02/2029,10,-2.1,2.8,-6.8,4.7,2029
16/11/2029,19/11/2029,4,-0.9,2.6,-4.2,2.2,2029
21/11/2029,25/11/2029,5,1.6,0.5,0.9,4.4,2029
09/12/2029,11/12/2029,3,0.3,1.6,-1.2,4.9,2029
02/02/2030,15/02/2030,14,-1.9,2.1,-5.8,4.7,2030
05/12/2030,17/12/2030,13,0.9,1.7,-1.9,4.7,2030
07/01/2031,09/01/2031,3,-0.7,1.0,-1.5,4.1,2031
02/02/2031,04/02/2031,3,-1.8,1.7,-3.7,3.9,2031
